tiempo,Cantidad de productos,Cantidad de cajas abiertas,Trabajadores activos,Nivel de fila,Tiempo del dia,Dia,,,,,,,,
1.45,1,1,5,5,2,3,,,,,,,,
1.51,1,1,5,5,2,3,,,,,,,,
11.40,3,1,5,5,2,3,,,,,,,,
10.37,3,1,5,5,2,3,,,,,,,,
11.47,3,1,5,5,2,3,,,,,,,,
13.15,1,1,4,5,2,3,,,,,,,,
14.34,1,1,5,5,2,3,,,,,,,,
19.58,2,1,5,5,2,3,,,,,,,,
13.07,2,1,5,5,2,3,,,,,,,,
10.33,2,1,5,5,1,4,,,,,,,,
12.16,3,1,5,5,1,4,,,,,,,,
11.56,2,1,5,5,1,4,,,,,,,,
14.34,3,1,6,5,1,4,,,,,,,,
8.58,2,1,5,5,1,4,,,,,,,,
1.32,1,1,6,5,1,4,,,,,,,,
2.00,1,1,5,6,1,4,,,,,,,,
4.31,1,1,5,6,1,4,,,,,,,,
11.41,2,1,5,5,1,4,,,,,,,,
3.45,1,1,5,5,1,4,,,,,,,,
8.45,3,1,5,5,1,4,,,,,,,,
11.46,3,1,5,5,1,4,,,,,,,,
1.45,1,1,5,5,1,4,,,,,,,,
14.45,3,1,5,5,1,4,,,,,,,,
6.31,1,1,5,5,1,4,,,,,,,,
15.54,2,1,6,5,1,4,,,,,,,,
17.48,3,1,5,5,1,4,,,,,,,,
6.59,2,1,5,5,1,4,,,,,,,,
10.15,1,1,5,5,1,4,,,,,,,,
15.23,2,1,5,5,1,4,,,,,,,,
11.29,2,1,5,5,1,4,,,,,,,,
12.01,2,1,5,4,1,4,,,,,,,,
12.18,2,1,5,5,1,4,,,,,,,,
12.31,2,1,5,5,1,4,,,,,,,,
12.27,2,1,5,5,1,4,,,,,,,,
5.16,1,1,5,5,2,4,,,,,,,,
16.56,2,1,5,5,2,4,,,,,,,,
16.44,3,1,5,5,2,4,,,,,,,,
10.56,2,1,5,5,2,4,,,,,,,,
8.50,2,1,5,5,2,4,,,,,,,,
14.54,3,1,5,5,2,4,,,,,,,,
2.21,1,1,6,5,2,4,,,,,,,,
13.53,3,1,5,5,2,4,,,,,,,,
12.24,2,1,5,5,2,4,,,,,,,,
15.27,2,1,5,5,2,4,,,,,,,,
15.28,2,1,5,5,2,4,,,,,,,,
11.02,3,1,5,5,2,4,,,,,,,,
9.05,2,1,5,5,2,4,,,,,,,,
8.45,2,1,4,5,2,4,,,,,,,,
15.03,3,1,5,5,2,4,,,,,,,,
7.45,1,1,5,5,2,4,,,,,,,,
11.28,2,1,5,5,2,4,,,,,,,,
11.41,1,1,5,5,2,4,,,,,,,,
13.04,2,1,5,5,3,5,,,,,,,,
7.39,3,1,5,5,3,5,,,,,,,,
13.45,2,1,5,5,3,5,,,,,,,,
14.56,2,1,5,5,3,5,,,,,,,,
1.32,1,1,5,5,3,5,,,,,,,,
12.27,2,1,5,5,3,5,,,,,,,,
13.49,2,1,5,5,3,5,,,,,,,,
14.40,2,1,5,5,3,5,,,,,,,,
4.58,2,1,5,5,3,5,,,,,,,,
19.07,2,1,5,5,3,5,,,,,,,,
14.37,2,1,5,5,3,5,,,,,,,,
11.24,2,1,5,5,3,5,,,,,,,,
5.31,1,1,5,5,3,5,,,,,,,,
14.56,2,1,5,5,3,5,,,,,,,,
12.34,2,1,5,5,3,5,,,,,,,,
7.11,2,1,5,5,3,5,,,,,,,,
