source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,within an hour,100%,f,16,t,Entire serviced apartment,Entire home/apt,2,1,1,$900.00,1,365,1,2,5,365,2,353.4,,t,352,75,4.61,t,16,16
previous scrape,N/A,100%,f,1,t,Entire condo,Entire home/apt,4,2,3,"$4,500.00",1,365,1,1,365,365,1,365,,t,0,0,,t,1,1
city scrape,within an hour,100%,f,2,t,Private room in condo,Private room,1,,1,$650.00,1,1125,1,1,1125,1125,1,1125,,t,53,1,5,f,2,1
city scrape,within an hour,100%,t,36,t,Shipping container,Entire home/apt,2,1,1,$450.00,1,365,1,1,365,365,1,365,,t,349,9,4.56,f,36,36
city scrape,within a day,100%,f,1,t,Private room in casa particular,Private room,2,,3,$300.00,1,1125,1,1,1125,1125,1,1125,,t,365,0,,f,1,0
city scrape,within an hour,99%,f,2,t,Private room in vacation home,Private room,2,,1,$300.00,1,30,1,1,1125,1125,1,1125,,t,358,43,4.65,f,2,0
city scrape,within an hour,94%,f,1,t,Entire loft,Entire home/apt,6,3,3,"$1,000.00",1,1125,1,1,1125,1125,1,1125,,t,182,14,4.93,t,1,1
city scrape,within an hour,93%,f,1,t,Private room in condo,Private room,2,,1,$591.00,1,365,1,1,365,365,1,365,,t,89,20,4.6,t,1,0
previous scrape,N/A,100%,f,1,t,Entire condo,Entire home/apt,6,2,3,$431.00,5,7,5,5,1125,1125,5,1125,,t,0,4,3.75,t,1,1
city scrape,within an hour,100%,t,1,t,Entire condo,Entire home/apt,5,2,4,"$2,750.00",2,1125,2,2,1125,1125,2,1125,,t,326,8,5,f,1,1
