source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,within an hour,14%,f,5,t,Private room in home,Private room,2,,1,$350.00,2,6,2,2,6,6,2,6,,t,90,2,5,f,4,1
previous scrape,N/A,100%,f,8,t,Room in hotel,Private room,4,1,1,"$2,526.00",1,365,1,1,1125,1125,1,1125,,f,0,1,5,f,8,0
city scrape,within an hour,100%,f,5,t,Private room in guest suite,Private room,2,,1,$801.00,1,1125,1,1,1125,1125,1,1125,,t,360,29,4.72,f,5,0
city scrape,N/A,N/A,f,2,t,Private room in home,Private room,4,,,"$5,000.00",30,1125,30,30,1125,1125,30,1125,,t,365,0,,t,1,0
previous scrape,N/A,100%,f,8,t,Room in hotel,Private room,2,1,1,"$2,400.00",1,365,1,1,1125,1125,1,1125,,f,0,0,,f,8,0
city scrape,within an hour,100%,f,5,t,Private room in guest suite,Private room,2,1,1,$750.00,1,1125,1,1,1125,1125,1,1125,,t,357,63,4.6,f,5,0
city scrape,within an hour,100%,f,5,t,Private room in guest suite,Private room,2,,1,$751.00,1,1125,1,1,1125,1125,1,1125,,t,364,146,4.86,f,5,0
city scrape,within an hour,100%,f,5,t,Private room in guest suite,Private room,2,,1,$800.00,1,1125,1,1,1125,1125,1,1125,,t,363,26,4.77,f,5,0
city scrape,within an hour,100%,t,4,t,Entire rental unit,Entire home/apt,2,1,1,"$1,357.00",1,1125,1,1,1125,1125,1,1125,,t,362,17,4.82,t,4,4
city scrape,within an hour,100%,t,4,t,Entire rental unit,Entire home/apt,2,1,1,"$1,036.00",1,1125,1,1,1125,1125,1,1125,,t,278,0,,t,4,4
city scrape,within an hour,99%,t,15,t,Entire condo,Entire home/apt,2,1,1,$606.00,2,100,1,3,1,1125,2,1099.2,,t,77,35,4.77,f,15,15
previous scrape,within an hour,97%,t,2,t,Entire rental unit,Entire home/apt,4,2,2,"$1,718.00",20,1125,20,20,1125,1125,20,1125,,t,0,9,4.44,f,2,2
city scrape,within an hour,100%,f,2,t,Entire guest suite,Entire home/apt,2,1,1,$900.00,3,1125,3,3,1125,1125,3,1125,,t,365,5,4.8,t,2,2
city scrape,within an hour,14%,f,5,t,Private room in home,Private room,2,,1,$360.00,2,6,2,2,6,6,2,6,,t,83,4,5,f,4,1
city scrape,a few days or more,0%,f,2,t,Private room in rental unit,Private room,1,,1,$188.00,15,90,15,15,90,90,15,90,,t,363,0,,f,2,0
city scrape,within an hour,14%,f,5,t,Private room in home,Private room,2,,1,$365.00,2,6,2,2,6,6,2,6,,t,90,5,5,f,4,1
city scrape,within an hour,95%,,5,t,Private room in home,Private room,2,,1,$300.00,3,1125,3,3,1125,1125,3,1125,,t,233,18,5,f,3,1
city scrape,within an hour,99%,f,1,t,Entire loft,Entire home/apt,3,1,1,$800.00,1,1125,1,1,1125,1125,1,1125,,t,352,183,4.75,f,1,1
city scrape,N/A,N/A,f,9,t,Entire rental unit,Entire home/apt,4,2,2,"$1,187.00",2,1125,2,2,1125,1125,2,1125,,t,2,139,4.67,f,7,7
city scrape,N/A,33%,f,1,t,Entire rental unit,Entire home/apt,5,3,5,$999.00,5,60,5,5,60,60,5,60,,t,265,2,5,f,1,1
city scrape,within an hour,99%,t,7,t,Entire guest suite,Entire home/apt,2,1,1,$530.00,2,120,2,2,1125,1125,2,1125,,t,269,42,4.79,t,6,3
city scrape,within a few hours,100%,f,2,t,Entire rental unit,Entire home/apt,3,1,2,$354.00,2,60,1,2,60,60,2,60,,t,277,38,4.53,f,2,2
city scrape,within an hour,96%,t,4,t,Entire rental unit,Entire home/apt,10,3,5,"$1,395.00",1,30,1,1,1125,1125,1,1125,,t,337,85,4.85,f,4,4
city scrape,within an hour,100%,t,3,t,Entire serviced apartment,Entire home/apt,2,1,,"$1,290.00",2,1125,2,2,1125,1125,2,1125,,t,217,6,4.67,f,3,3
city scrape,within an hour,100%,t,3,t,Entire rental unit,Entire home/apt,6,3,8,"$1,111.00",1,1125,1,1,1125,1125,1,1125,,t,265,81,4.86,f,2,2
previous scrape,N/A,N/A,f,1,t,Private room in loft,Private room,1,1,,$800.00,1,1125,1,1,1125,1125,1,1125,,f,0,1,1,f,1,0
previous scrape,N/A,N/A,f,2,t,Private room in home,Private room,2,,2,$400.00,1,1125,1,1,1125,1125,1,1125,,t,0,2,4.5,f,2,0
previous scrape,N/A,N/A,f,1,t,Private room in bed and breakfast,Private room,1,,1,"$1,800.00",4,1125,4,4,1125,1125,4,1125,,f,0,0,,f,1,0
city scrape,within an hour,97%,f,5,t,Private room in home,Private room,2,,1,$443.00,1,1125,1,1,1125,1125,1,1125,,t,357,10,4.9,f,5,1
city scrape,within an hour,100%,f,1,t,Private room in home,Private room,2,,1,$450.00,2,6,2,2,1125,1125,2,1125,,t,338,19,4.95,f,1,0
city scrape,within an hour,100%,t,23,t,Entire rental unit,Entire home/apt,6,3,5,"$2,235.00",1,1125,1,1,1125,1125,1,1125,,t,289,107,4.72,t,17,17
city scrape,within an hour,97%,f,5,t,Private room in home,Private room,2,,1,$529.00,1,1125,1,1,1125,1125,1,1125,,t,357,7,4.86,f,5,1
city scrape,within an hour,97%,f,5,t,Entire rental unit,Entire home/apt,8,3,3,"$1,600.00",2,1125,2,2,1125,1125,2,1125,,t,174,1,5,t,5,1
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,3,,2,"$10,000.00",1,120,1,1,1125,1125,1,1125,,f,0,1,4,f,1,0
city scrape,within an hour,89%,f,3,t,Entire loft,Entire home/apt,2,1,1,$556.00,2,180,2,2,180,180,2,180,,t,351,68,4.6,f,1,1
city scrape,within a few hours,93%,t,3,t,Entire guesthouse,Entire home/apt,3,1,3,$600.00,1,1,1,1,1,1,1,1,,t,90,7,4.86,f,3,3
city scrape,within an hour,99%,f,4,t,Entire rental unit,Entire home/apt,5,2,4,$727.00,1,1125,1,1,1125,1125,1,1125,,t,315,205,4.68,f,4,4
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,3,,1,$802.00,1,1125,1,1,1125,1125,1,1125,,t,258,37,4.86,f,6,0
city scrape,within an hour,67%,f,1,t,Entire rental unit,Entire home/apt,2,2,1,"$1,100.00",7,1125,7,7,1125,1125,7,1125,,t,365,1,5,f,1,1
city scrape,within an hour,98%,t,8,t,Entire rental unit,Entire home/apt,5,2,4,"$1,266.00",3,1125,3,3,1125,1125,3,1125,,t,150,67,4.81,t,8,8
city scrape,within an hour,98%,f,42,t,Entire condo,Entire home/apt,4,1,2,$981.00,1,1125,1,3,1125,1125,2.2,1125,,t,354,44,4.91,f,42,42
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,3,,1,$799.00,1,1125,1,1,1125,1125,1,1125,,t,260,27,4.63,f,6,0
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,2,,1,$752.00,1,1125,1,1,1125,1125,1,1125,,t,261,83,4.77,f,6,0
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,1,,,"$2,000.00",1,1,1,1,1,1,1,1,,f,0,0,,f,1,0
city scrape,within a few hours,86%,t,2,t,Entire guest suite,Entire home/apt,4,1,3,"$2,000.00",2,1125,2,2,1125,1125,2,1125,,t,311,8,4.75,f,2,2
city scrape,within an hour,100%,f,4,t,Entire rental unit,Entire home/apt,6,2,5,"$1,640.00",2,60,2,2,1125,1125,2,1125,,t,239,91,4.79,f,4,4
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,2,,1,$751.00,1,1125,1,1,1125,1125,1,1125,,t,260,113,4.78,f,6,0
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,3,,1,$805.00,1,1125,1,1,1125,1125,1,1125,,t,258,46,4.76,f,6,0
previous scrape,N/A,50%,f,1,t,Private room in rental unit,Private room,2,,1,$172.00,1,1125,1,1,1125,1125,1,1125,,t,0,3,5,f,1,0
city scrape,within an hour,95%,f,1,t,Entire rental unit,Entire home/apt,6,3,3,"$1,200.00",1,1125,1,1,1125,1125,1,1125,,t,238,179,4.72,t,1,1
city scrape,within an hour,98%,t,8,t,Entire condo,Entire home/apt,3,1,2,"$1,100.00",3,1125,3,3,1125,1125,3,1125,,t,172,39,4.85,t,8,8
city scrape,within an hour,98%,t,8,t,Entire rental unit,Entire home/apt,5,2,4,"$1,288.00",3,1125,3,3,1125,1125,3,1125,,t,157,60,4.75,f,8,8
previous scrape,N/A,100%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,$950.00,2,1125,2,2,1125,1125,2,1125,,t,0,45,4.78,f,1,1
city scrape,within an hour,98%,t,8,t,Entire rental unit,Entire home/apt,3,1,2,"$1,272.00",3,1125,3,3,1125,1125,3,1125,,t,142,49,4.86,t,8,8
previous scrape,N/A,33%,f,1,t,Entire rental unit,Entire home/apt,2,1,2,$582.00,2,10,2,2,1125,1125,2,1125,,t,0,0,,f,1,1
city scrape,N/A,N/A,f,1,t,Private room in guesthouse,Private room,2,,,$687.00,7,29,7,7,29,29,7,29,,t,365,0,,f,1,0
city scrape,within an hour,100%,f,6,t,Private room in guest suite,Private room,2,,1,$749.00,1,1125,1,1,1125,1125,1,1125,,t,261,34,4.82,f,6,0
city scrape,within a few hours,89%,t,3,t,Entire guesthouse,Entire home/apt,2,1,1,$460.00,30,365,30,30,365,365,30,365,,t,109,26,4.85,f,3,2
city scrape,within an hour,93%,,6,t,Entire rental unit,Entire home/apt,5,2,4,"$1,222.00",2,1125,2,2,1125,1125,2,1125,,t,42,30,5,f,2,2
city scrape,within a few hours,73%,f,10,t,Entire rental unit,Entire home/apt,4,2,2,"$2,014.00",1,25,1,1,25,25,1,25,,t,359,15,4.6,f,10,6
city scrape,within an hour,100%,f,15,t,Entire rental unit,Entire home/apt,3,2,2,"$1,590.00",1,91,1,1,1125,1125,1,1125,,t,144,78,4.54,t,12,12
city scrape,within an hour,98%,t,8,t,Entire condo,Entire home/apt,2,1,1,"$1,200.00",3,1125,3,3,1125,1125,3,1125,,t,168,27,4.93,f,8,8
city scrape,a few days or more,80%,f,2,t,Private room in rental unit,Private room,2,,1,$464.00,1,30,1,1,1125,1125,1,1125,,t,338,8,4.75,f,2,0
city scrape,within an hour,100%,f,6,t,Entire rental unit,Entire home/apt,4,1,2,$634.00,1,1125,1,1,1125,1125,1,1125,,t,339,111,4.77,f,6,6
city scrape,within a few hours,96%,t,1,t,Entire rental unit,Entire home/apt,3,1,2,"$1,100.00",3,1125,3,3,1125,1125,3,1125,,t,109,32,4.97,f,1,1
city scrape,within an hour,100%,,142,t,Entire rental unit,Entire home/apt,4,2,2,"$2,103.00",1,1125,1,3,1125,1125,1,1125,,t,364,764,4.79,t,18,18
city scrape,within an hour,100%,t,9,t,Entire rental unit,Entire home/apt,4,1,2,$886.00,2,28,1,4,1125,1125,3.6,1125,,t,163,137,4.73,f,5,5
city scrape,within a few hours,67%,f,1,t,Entire rental unit,Entire home/apt,5,2,3,"$1,100.00",3,35,3,3,35,35,3,35,,t,56,33,5,f,1,1
city scrape,within an hour,66%,f,5,t,Entire rental unit,Entire home/apt,4,2,2,"$2,500.00",3,1125,3,3,1125,1125,3,1125,,t,23,10,5,f,3,2
previous scrape,N/A,N/A,f,2,t,Entire rental unit,Entire home/apt,2,1,1,$464.00,1,20,1,1,1125,1125,1,1125,,t,0,0,,t,1,1
city scrape,within an hour,66%,f,5,t,Private room in rental unit,Private room,2,,1,"$1,200.00",3,7,3,3,7,7,3,7,,t,86,1,5,f,3,2
city scrape,within an hour,99%,f,3,t,Entire rental unit,Entire home/apt,5,2,3,"$1,095.00",1,1125,1,1,1125,1125,1,1125,,t,349,84,4.54,t,3,3
city scrape,within an hour,100%,f,3,t,Entire rental unit,Entire home/apt,3,1,2,$671.00,2,32,2,2,1125,1125,2,1125,,t,355,231,4.67,f,3,3
city scrape,within an hour,50%,f,2,t,Entire serviced apartment,Entire home/apt,5,2,2,$888.00,2,45,2,2,45,45,2,45,,t,151,5,4.6,f,1,1
previous scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,8,1,5,$750.00,8,30,8,8,1125,1125,8,1125,,f,0,0,,f,1,1
city scrape,within an hour,100%,,4,t,Entire condo,Entire home/apt,4,2,2,"$1,149.00",2,1125,2,2,1125,1125,2,1125,,t,218,59,4.98,f,2,2
previous scrape,within an hour,N/A,f,2,t,Entire condo,Entire home/apt,4,2,2,"$2,000.00",90,365,90,90,1125,1125,90,1125,,t,0,0,,f,1,1
city scrape,within a day,22%,f,1,t,Private room in rental unit,Private room,2,,2,$424.00,1,365,1,1,365,365,1,365,,t,352,1,5,f,1,0
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,1,,1,"$4,296.00",1,1125,1,1,1125,1125,1,1125,,f,0,0,,f,1,0
city scrape,within an hour,79%,t,11,t,Entire condo,Entire home/apt,2,1,,$245.00,3,365,3,3,365,365,3,365,,t,357,21,4.76,f,11,11
city scrape,a few days or more,33%,f,3,t,Entire serviced apartment,Entire home/apt,5,2,3,$550.00,2,30,2,2,30,1125,2,835.5,,t,365,3,4.67,f,3,1
city scrape,within an hour,100%,f,2,t,Entire rental unit,Entire home/apt,5,2,2,$534.00,1,30,1,1,1125,1125,1,1125,,t,269,65,4.6,f,1,1
city scrape,within an hour,99%,t,42,t,Entire rental unit,Entire home/apt,14,6,7,"$2,602.00",3,1125,1,3,1125,1125,3,1125,,t,160,41,4.78,f,22,22
city scrape,N/A,0%,f,1,t,Entire rental unit,Entire home/apt,4,2,3,"$3,490.00",2,1125,2,2,1125,1125,2,1125,,t,80,3,5,f,1,1
city scrape,within an hour,100%,,74,t,Entire rental unit,Entire home/apt,6,3,5,"$2,881.00",2,365,2,4,365,1125,2.2,1091.8,,t,130,85,4.88,t,6,6
previous scrape,N/A,100%,f,2,t,Private room in rental unit,Private room,2,,,"$3,800.00",1,365,1,1,1125,1125,1,1125,,f,0,1,5,f,2,0
city scrape,within an hour,100%,t,11,t,Private room in home,Private room,2,,1,$746.00,1,1125,1,1,1125,1125,1,1125,,t,335,62,4.84,f,11,5
city scrape,within an hour,100%,f,8,t,Private room in home,Private room,2,,1,$213.00,1,365,1,1,1125,1125,1,1125,,t,289,31,4.94,t,8,0
city scrape,within an hour,82%,f,1,t,Private room in rental unit,Private room,2,,1,$600.00,2,30,2,2,30,30,2,30,,t,143,8,5,f,1,0
city scrape,within an hour,99%,t,3,t,Entire rental unit,Entire home/apt,5,2,2,"$1,500.00",2,1125,2,2,1125,1125,2,1125,,t,193,125,4.95,t,3,3
city scrape,within an hour,100%,t,4,t,Entire condo,Entire home/apt,2,1,1,$579.00,3,1125,3,3,1125,1125,3,1125,,t,300,30,5,f,4,4
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,1,,1,$300.00,2,1125,2,2,1125,1125,2,1125,,t,0,2,5,f,1,0
city scrape,within an hour,100%,,9,t,Entire condo,Entire home/apt,4,2,3,"$1,443.00",2,60,2,2,1125,1125,2,1125,,t,175,23,4.87,t,4,4
city scrape,within an hour,100%,,142,t,Entire rental unit,Entire home/apt,4,2,2,"$2,307.00",1,1125,1,5,1125,1125,2.9,1125,,t,363,327,4.76,t,18,18
city scrape,within an hour,100%,,142,t,Entire rental unit,Entire home/apt,4,2,2,"$2,413.00",1,1125,1,3,1125,1125,1,1125,,t,326,126,4.79,t,18,18
city scrape,within an hour,100%,,142,t,Entire rental unit,Entire home/apt,4,2,2,"$2,161.00",1,1125,1,4,1125,1125,1,1125,,t,321,76,4.82,t,18,18
city scrape,within an hour,100%,,142,t,Entire rental unit,Entire home/apt,4,2,2,"$2,333.00",1,90,1,3,1125,1125,1,1125,,t,341,59,4.75,t,18,18
city scrape,within an hour,100%,t,1,t,Entire rental unit,Entire home/apt,4,1,2,$820.00,2,1125,2,2,1125,1125,2,1125,,t,350,17,4.88,f,1,1
city scrape,within an hour,100%,f,7,t,Private room in home,Private room,2,,1,$385.00,30,1125,30,30,1125,1125,30,1125,,t,278,2,4.5,f,7,0
city scrape,within an hour,98%,t,2,t,Entire rental unit,Entire home/apt,4,2,2,"$1,500.00",2,30,2,2,1125,1125,2,1125,,t,174,27,4.7,t,2,2
city scrape,within an hour,100%,t,1,t,Entire condo,Entire home/apt,4,2,2,"$1,713.00",2,1125,2,2,1125,1125,2,1125,,t,168,29,4.93,f,1,1
city scrape,within an hour,100%,f,36,t,Entire rental unit,Entire home/apt,2,1,1,"$1,199.00",2,1000,2,2,1125,1125,2,1125,,t,336,102,4.71,t,33,33
city scrape,N/A,N/A,f,4,t,Private room in rental unit,Private room,2,,1,$280.00,1,1125,1,1,1125,1125,1,1125,,t,2,14,4.71,t,4,0
previous scrape,N/A,N/A,f,2,t,Private room in rental unit,Private room,1,,,$172.00,30,30,30,30,30,30,30,30,,f,0,0,,f,1,0
city scrape,within an hour,99%,,143,t,Entire rental unit,Entire home/apt,12,4,4,"$10,090.00",2,1125,2,2,1125,1125,2,1125,,t,322,30,4.93,t,62,62
city scrape,N/A,67%,f,2,t,Private room in condo,Private room,1,,3,$490.00,4,30,4,4,30,30,4,30,,t,89,13,4.69,f,2,0
city scrape,within an hour,100%,f,1,t,Entire condo,Entire home/apt,10,3,5,"$2,800.00",4,1125,4,4,1125,1125,4,1125,,t,144,23,4.91,f,1,1
previous scrape,N/A,33%,f,1,t,Private room in loft,Private room,1,1,,$450.00,2,1125,2,2,1125,1125,2,1125,,f,0,0,,f,1,0
city scrape,within a day,50%,f,1,t,Entire rental unit,Entire home/apt,2,1,,$400.00,1,1125,1,1,1125,1125,1,1125,,t,53,0,,f,1,1
city scrape,within an hour,100%,f,3,t,Private room in rental unit,Private room,1,,1,$250.00,30,365,30,30,365,365,30,365,,t,365,0,,f,2,0
previous scrape,N/A,N/A,f,2,t,Private room in condo,Private room,2,,1,$481.00,1,20,1,1,20,20,1,20,,t,0,0,,f,2,0
city scrape,a few days or more,92%,f,3,t,Room in hotel,Private room,1,1,1,$825.00,1,7,1,1,1125,1125,1,1125,,t,365,1,4,t,3,0
city scrape,within an hour,100%,t,11,t,Entire loft,Entire home/apt,3,1,2,$906.00,2,1125,2,2,1125,1125,2,1125,,t,332,130,4.72,t,11,11
city scrape,within a day,100%,f,4,t,Private room in condo,Private room,1,,1,$292.00,4,1125,4,4,1125,1125,4,1125,,t,234,9,4.33,f,4,0
city scrape,within an hour,100%,t,10,t,Entire rental unit,Entire home/apt,4,2,2,"$1,437.00",2,1125,2,2,1125,1125,2,1125,,t,125,66,4.85,t,6,6
city scrape,within an hour,100%,f,5,t,Entire condo,Entire home/apt,4,1,3,$662.00,1,1125,1,1,365,1125,1,634.1,,t,323,194,4.8,t,5,4
city scrape,within an hour,64%,f,12,t,Entire rental unit,Entire home/apt,2,1,1,"$1,540.00",1,1125,1,1,1125,1125,1,1125,,t,353,34,4.74,f,12,4
city scrape,within a few hours,97%,f,2,t,Entire rental unit,Entire home/apt,2,1,1,$314.00,2,21,2,2,21,21,2,21,,t,58,76,4.75,f,2,2
city scrape,within a few hours,96%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$650.00,3,1125,3,4,1125,1125,3.7,1125,,t,165,105,4.7,f,1,1
city scrape,within an hour,100%,t,2,t,Entire loft,Entire home/apt,2,1,1,"$1,013.00",2,1125,2,2,1125,1125,2,1125,,t,206,75,4.91,t,2,2
city scrape,within an hour,99%,f,7,t,Entire rental unit,Entire home/apt,3,1,2,"$1,057.00",1,365,1,1,1125,1125,1,1125,,t,364,30,4.73,t,7,6
city scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,1,1,,"$1,300.00",4,6,4,4,1125,1125,4,1125,,t,180,1,5,t,1,1
city scrape,within an hour,100%,t,43,t,Entire rental unit,Entire home/apt,4,2,2,"$1,189.00",1,365,1,4,365,1125,1.3,906.6,,t,90,69,4.65,t,11,11
city scrape,within a few hours,73%,f,10,t,Private room in rental unit,Private room,2,,1,$991.00,1,25,1,1,25,25,1,25,,t,360,2,3,f,10,6
city scrape,a few days or more,50%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$700.00,2,30,2,2,1125,1125,2,1125,,t,361,4,3.33,f,1,1
previous scrape,N/A,N/A,f,1,t,Private room in rental unit,Private room,1,,1,$300.00,2,1125,2,2,1125,1125,2,1125,,f,0,0,,f,1,0
city scrape,within an hour,100%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,$601.00,2,1125,2,2,1125,1125,2,1125,,t,354,86,4.79,f,1,1
city scrape,within an hour,N/A,f,2,t,Entire loft,Entire home/apt,4,,1,"$2,000.00",15,90,15,15,90,90,15,90,,t,363,3,4.33,f,2,1
city scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,4,1,2,$950.00,2,1125,2,2,1125,1125,2,1125,,t,150,98,4.84,f,1,1
city scrape,within an hour,98%,f,4,t,Entire rental unit,Entire home/apt,6,3,3,"$2,900.00",2,6,2,2,6,6,2,6,,t,72,5,5,f,3,3
city scrape,a few days or more,14%,,17,t,Private room in rental unit,Private room,2,,,"$1,190.00",3,30,3,3,30,30,3,30,,t,365,0,,f,10,5
previous scrape,N/A,N/A,f,1,t,Private room in home,Private room,4,,4,"$1,993.00",30,365,30,30,1125,1125,30,1125,,f,0,0,,f,1,0
city scrape,within an hour,100%,t,5,t,Private room in home,Private room,1,,1,$301.00,1,1125,1,1,1125,1125,1,1125,,t,353,109,4.89,t,5,1
previous scrape,N/A,N/A,f,1,t,Shared room in home,Shared room,2,,,$350.00,2,1125,2,2,1125,1125,2,1125,,f,0,0,,f,1,0
city scrape,within an hour,100%,t,32,t,Entire rental unit,Entire home/apt,12,4,6,"$2,607.00",1,180,1,2,1125,1125,1.3,1125,,t,149,26,4.73,t,23,23
city scrape,within an hour,95%,t,2,t,Entire serviced apartment,Entire home/apt,6,3,3,"$1,757.00",3,1125,3,3,1125,1125,3,1125,,t,331,67,4.78,f,2,2
city scrape,within an hour,95%,f,2,t,Private room in rental unit,Private room,2,,1,$450.00,2,1125,2,2,1125,1125,2,1125,,t,90,13,5,f,1,0
city scrape,N/A,N/A,f,1,t,Room in boutique hotel,Private room,2,,,$276.00,90,1125,90,90,1125,1125,90,1125,,t,365,0,,t,1,0
city scrape,within an hour,100%,f,1,t,Private room in condo,Private room,1,,1,$340.00,2,1125,2,2,1125,1125,2,1125,,t,165,3,5,f,1,0
city scrape,within an hour,93%,f,1,t,Entire rental unit,Entire home/apt,5,2,3,"$1,000.00",2,1125,2,2,1125,1125,2,1125,,t,46,16,4.75,f,1,1
city scrape,within an hour,100%,,15,t,Entire rental unit,Entire home/apt,6,2,3,"$1,172.00",1,180,1,2,1125,1125,1.3,1125,,t,195,132,4.86,f,6,6
city scrape,within an hour,100%,t,31,t,Private room in rental unit,Private room,1,,1,$214.00,1,44,1,2,25,1125,1.4,637,,t,83,83,4.76,t,30,0
city scrape,within an hour,96%,f,3,t,Private room in home,Private room,1,,1,$290.00,2,1125,2,2,1125,1125,2,1125,,t,148,10,4.6,f,3,0
city scrape,within an hour,99%,f,27,t,Entire rental unit,Entire home/apt,4,2,2,"$2,000.00",2,1125,2,2,1125,1125,2,1125,,t,68,39,4.77,f,27,3
city scrape,within an hour,50%,f,2,t,Private room in loft,Private room,2,,1,$320.00,15,90,15,15,1125,1125,15,1125,,t,89,1,5,t,2,1
city scrape,within an hour,97%,f,7,t,Room in boutique hotel,Private room,2,,1,"$1,358.00",1,1125,1,1,1125,1125,1,1125,,t,177,60,4.75,f,7,0
previous scrape,N/A,N/A,f,1,t,Entire rental unit,Entire home/apt,3,2,2,"$25,502.00",1,3,1,1,1125,1125,1,1125,,f,0,0,,f,1,1
city scrape,within an hour,100%,t,45,t,Entire home,Entire home/apt,16,5,9,"$1,723.00",2,1125,1,2,1125,1125,1.4,1125,,t,133,96,4.77,t,45,45
city scrape,within a few hours,50%,f,4,t,Entire loft,Entire home/apt,2,1,1,$900.00,3,1125,3,3,1125,1125,3,1125,,t,342,12,4.33,f,1,1
city scrape,within an hour,87%,f,1,t,Entire rental unit,Entire home/apt,4,2,2,$800.00,3,1125,3,3,1125,1125,3,1125,,t,353,57,4.63,t,1,1
previous scrape,within a day,85%,f,2,t,Entire home,Entire home/apt,4,2,2,"$1,576.00",5,1125,5,5,1125,1125,5,1125,,t,0,7,4.86,f,2,2
previous scrape,N/A,0%,f,3,t,Entire rental unit,Entire home/apt,3,2,2,"$3,000.00",3,1125,3,3,1125,1125,3,1125,,f,0,0,,f,2,2
city scrape,within an hour,99%,t,484,t,Entire rental unit,Entire home/apt,4,1,2,"$2,596.00",1,1125,1,1,1125,1125,1,1125,,t,121,46,4.85,t,280,276
previous scrape,within an hour,100%,f,10,t,Private room in rental unit,Private room,1,,1,$550.00,3,1125,3,3,1125,1125,3,1125,,t,0,0,,f,1,0
city scrape,within an hour,100%,f,8,t,Private room in guest suite,Private room,2,,1,"$1,920.00",1,1125,1,1,1125,1125,1,1125,,t,359,1,3,t,8,1
city scrape,within an hour,100%,t,2,t,Entire rental unit,Entire home/apt,2,1,1,$720.00,2,1125,2,2,1125,1125,2,1125,,t,68,62,4.84,f,2,2
city scrape,within an hour,96%,t,9,t,Entire condo,Entire home/apt,2,1,1,$716.00,3,1000,3,3,1125,1125,3,1125,,t,89,4,5,f,9,9
city scrape,within an hour,100%,f,6,t,Entire home,Entire home/apt,6,2,3,"$1,900.00",2,1125,2,2,1125,1125,2,1125,,t,255,32,4.91,f,6,6
city scrape,within an hour,98%,f,4,t,Room in hotel,Private room,2,1,1,$760.00,1,365,1,1,1125,1125,1,1125,,t,339,7,4.71,t,4,0
city scrape,within an hour,98%,f,4,t,Room in hotel,Private room,3,1,2,$652.00,1,1125,1,1,1125,1125,1,1125,,t,352,3,3.33,t,4,0
city scrape,within an hour,97%,f,89,t,Private room in rental unit,Private room,2,,1,$475.00,1,365,1,3,1125,1125,1,1125,,t,338,3,4.33,f,37,21
city scrape,within an hour,100%,f,1,t,Entire rental unit,Entire home/apt,6,2,4,"$1,839.00",2,1125,2,2,1125,1125,2,1125,,t,357,31,4.87,t,1,1
city scrape,within an hour,98%,t,1,t,Entire rental unit,Entire home/apt,4,2,2,$701.00,2,1125,2,2,1125,1125,2,1125,,t,282,79,4.86,f,1,1
city scrape,within a few hours,77%,f,6,t,Private room in rental unit,Private room,4,,1,"$1,500.00",1,1125,1,1,1125,1125,1,1125,,t,364,0,,f,6,0
city scrape,within an hour,100%,f,2,t,Entire guest suite,Entire home/apt,2,1,1,$800.00,3,1125,3,3,1125,1125,3,1125,,t,365,27,4.78,t,2,2
city scrape,within an hour,100%,t,1,t,Private room in rental unit,Private room,3,,1,$500.00,1,1125,1,1,1125,1125,1,1125,,t,309,54,4.91,f,1,0
city scrape,within an hour,97%,f,89,t,Private room in rental unit,Private room,2,,1,$613.00,1,1111,1,3,1125,1125,1,1125,,t,341,3,4.67,f,37,21
city scrape,within a few hours,77%,f,6,t,Private room in rental unit,Private room,4,,1,"$1,500.00",1,1125,1,1,1125,1125,1,1125,,t,365,0,,f,6,0
city scrape,within an hour,89%,f,4,t,Entire serviced apartment,Entire home/apt,2,1,1,"$2,414.00",1,1125,1,2,1125,1125,1,1125,,t,275,6,4.5,t,4,4
city scrape,within an hour,89%,f,4,t,Entire serviced apartment,Entire home/apt,2,1,1,"$2,722.00",1,1125,1,2,1125,1125,1,1125,,t,274,6,4.17,t,4,4
